id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0568,match_19_sbu_vs_2wfc,San Beda University,right,Pass,23,Sam Salingay,ST,3816,2,4947.7748,6.0,true,60.77,55.51,false,defensive third,Unsuccessful,Through Ball,Through Ball,,89.02,91.51,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:40:25+02:00
evt_0569,match_19_sbu_vs_2wfc,2 Worlds FC,left,Throw-in,102,,0,3862,2,4993.941779,46.0,false,85.27,96.77,true,attacking third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:42:32+02:00
evt_0570,match_19_sbu_vs_2wfc,2 Worlds FC,left,Dribble,102,,0,3868,2,4999.701922,6.0,true,65.77,72.39,true,middle third,Successful,,,,,,,,,,true,,,,,,,,,2025-10-25T06:43:11+02:00
evt_0571,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,102,,0,3869,2,5000.336386,1.0,true,67.02,73.14,true,middle third,Successful,Short,Short,,62.27,59.63,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:43:22+02:00
evt_0572,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,101,,0,3879,2,5010.758835,10.0,true,74.27,54.38,true,middle third,Intercepted,Long,Long,,33.52,33.38,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:43:55+02:00
evt_0573,match_19_sbu_vs_2wfc,San Beda University,right,Foul,20,Laurence Fernandez,LWB,3884,2,5015.433422,5.0,false,56.02,23.25,false,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:44:16+02:00
evt_0574,match_19_sbu_vs_2wfc,2 Worlds FC,left,Free Kick,107,,0,3899,2,5030.973637,15.0,false,55.02,21,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:45:02+02:00
evt_0575,match_19_sbu_vs_2wfc,2 Worlds FC,left,Duel,105,,0,3901,2,5032.2601,2.0,false,16.02,46.51,false,defensive third,Unsuccessful,Aerial,,,,,,,,,true,,,,,,,,,2025-10-25T06:45:51+02:00
evt_0576,match_19_sbu_vs_2wfc,San Beda University,right,Pass,21,Bel Escodo,CAM,3907,2,5038.564408,6.0,true,24.52,87.01,true,attacking third,Successful,Short,Short,,35.02,72.76,middle third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:46:09+02:00
evt_0577,match_19_sbu_vs_2wfc,San Beda University,right,Pass,19,Kirvy Tabelin,CAM,3914,2,5045.476236,7.0,true,70.52,63.76,false,defensive third,Successful,Short,Short,,69.77,44.26,defensive third,Lateral Pass,False,,true,,,,,,,,,2025-10-25T06:46:29+02:00
evt_0578,match_19_sbu_vs_2wfc,San Beda University,right,Pass,42,Harvy Barro,CDM,3918,2,5049.964141,4.0,true,71.77,37.13,false,defensive third,Successful,Through Ball,Through Ball,,86.77,19.5,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:46:52+02:00
evt_0579,match_19_sbu_vs_2wfc,San Beda University,right,Pass,20,Laurence Fernandez,LWB,3925,2,5057.093791,7.0,true,85.77,25.13,false,defensive third,Unsuccessful,Cross,Cross,,87.77,39.76,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:47:16+02:00
evt_0580,match_19_sbu_vs_2wfc,San Beda University,right,Recovery,20,Laurence Fernandez,LWB,3929,2,5060.216378,4.0,false,72.02,22.5,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:47:26+02:00
evt_0581,match_19_sbu_vs_2wfc,San Beda University,right,Pass,20,Laurence Fernandez,LWB,3929,2,5061.162068,0.0,true,71.27,23.25,false,defensive third,Successful,Short,Short,,59.27,16.5,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:47:40+02:00
evt_0582,match_19_sbu_vs_2wfc,San Beda University,right,Pass,41,Diegocarl Digal,CB,3932,2,5064.011587,3.0,true,54.27,18,false,middle third,Successful,Short,Short,,43.27,36.38,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T06:47:52+02:00
evt_0583,match_19_sbu_vs_2wfc,San Beda University,right,Pass,14,Jaro Libarnes,CB,3937,2,5068.374613,5.0,true,44.77,45.01,true,middle third,Unsuccessful,Long,Long,,69.02,94.51,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:48:05+02:00
evt_0584,match_19_sbu_vs_2wfc,2 Worlds FC,left,Throw-in,102,,0,3952,2,5083.702152,15.0,false,61.52,99.02,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:48:24+02:00
evt_0585,match_19_sbu_vs_2wfc,2 Worlds FC,left,Possession Loss,102,,0,3951,2,5083.090055,-1.0,false,78.77,84.76,true,attacking third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:49:16+02:00
evt_0586,match_19_sbu_vs_2wfc,San Beda University,right,Foul,14,Jaro Libarnes,CB,3991,2,5122.616563,40.0,false,41.77,56.26,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:50:12+02:00
evt_0587,match_19_sbu_vs_2wfc,2 Worlds FC,left,Free Kick,106,,0,4008,2,5139.800832,17.0,false,41.77,48.76,false,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:50:30+02:00
evt_0588,match_19_sbu_vs_2wfc,2 Worlds FC,left,Shot,107,,0,4017,2,5148.511592,9.0,true,41.77,52.51,false,middle third,Off Target,Right Foot,,,,,,,,,true,,,,,,,,,2025-10-25T06:51:24+02:00
evt_0589,match_19_sbu_vs_2wfc,San Beda University,right,Recovery,13,Pedro Tagara,GK,4017,2,5148.511592,0.0,false,3.52,66.01,true,attacking third,,,,,,,,,,,false,,,,,,,,,2025-10-25T06:51:32+02:00
evt_0590,match_19_sbu_vs_2wfc,San Beda University,right,Duel,23,Sam Salingay,ST,4038,2,5170.044467,21.0,false,46.52,73.14,true,middle third,Successful,Aerial,,,,,,,,,true,,,,,,,,,2025-10-25T06:52:42+02:00
evt_0591,match_19_sbu_vs_2wfc,2 Worlds FC,left,Throw-in,102,,0,4050,2,5181.687582,12.0,false,53.27,97.52,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:53:09+02:00
evt_0592,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,103,,0,4058,2,5189.590514,8.0,true,32.77,76.51,false,defensive third,Intercepted,Short,Short,,27.77,70.51,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T06:53:47+02:00
evt_0593,match_19_sbu_vs_2wfc,2 Worlds FC,left,Foul,101,,0,4062,2,5193.799137,4.0,false,30.77,78.01,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-10-25T06:54:01+02:00
evt_0594,match_19_sbu_vs_2wfc,San Beda University,right,Free Kick,14,Jaro Libarnes,CB,4102,2,5232.398282,40.0,false,27.02,83.26,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T07:29:00+02:00
evt_0595,match_19_sbu_vs_2wfc,San Beda University,right,Duel,21,Bel Escodo,CAM,4108,2,5238.88877,6.0,false,69.52,78.76,false,defensive third,Unsuccessful,,,,,,,,,,true,,,,,,,,,2025-10-25T07:29:38+02:00
evt_0596,match_19_sbu_vs_2wfc,San Beda University,right,Dribble,22,Pius Encaya,ST,4116,2,5246.594236,8.0,true,72.27,55.88,false,defensive third,Unsuccessful,,,,,,,,,,true,,,,,,,,,2025-10-25T07:29:56+02:00
evt_0597,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,100,,0,4120,2,5251.106435,4.0,true,36.52,25.5,false,defensive third,Intercepted,,,,29.02,44.26,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T07:30:29+02:00
evt_0598,match_19_sbu_vs_2wfc,San Beda University,right,Possession Loss,42,Harvy Barro,CDM,4124,2,5254.847154,4.0,false,43.02,47.26,true,middle third,,,,,,,,,,,true,,,,,,,,,2025-10-25T07:30:45+02:00
evt_0599,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,103,,0,4127,2,5257.605974,3.0,true,43.77,60.76,false,middle third,Successful,Short,Short,,30.27,73.89,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T07:30:59+02:00
evt_0600,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,103,,0,4133,2,5263.831053,6.0,true,31.02,73.51,false,defensive third,Successful,Short,Short,,43.27,67.89,middle third,Forward Pass,False,,true,,,,,,,,,2025-10-25T07:31:14+02:00
evt_0601,match_19_sbu_vs_2wfc,2 Worlds FC,left,Pass,105,,0,4134,2,5264.654934,1.0,true,43.52,73.89,false,middle third,Unsuccessful,Long,Long,,38.52,67.14,defensive third,Back Pass,False,,true,,,,,,,,,2025-10-25T07:31:24+02:00
