id,match_id,team,team_side,event,player_id,player_name,position,match_time_minute,half_period,video_timestamp,duration,in_possession,origin_x,origin_y,is_opponent_half,origin_third,outcome,type,pass_type,receiver_name,pass_end_x,pass_end_y,pass_end_third,pass_direction,is_key_pass,shot_type,is_outside_the_box,blocker_name,keeper_name,duel_type,defender_name,player_out,player_out_position,player_in,player_in_position,created_at
evt_0258,match_17_sbu_vs_sin,San Beda University,right,Pass,20,"Fernandez, Laurence",RW,1394,1,1651.66939,6.0,true,93.19,30,false,defensive third,Successful,Short,Short,"Libarnes, Jaro",69.44,13.88,defensive third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:03:55+00:00
evt_0259,match_17_sbu_vs_sin,,,Out of Play,,,,1402,1,1660.202714,8.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T10:04:19+00:00
evt_0260,match_17_sbu_vs_sin,San Beda University,right,Throw In,15,"Aningalan, Jul",CB,1420,1,1677.712152,18.0,false,,,,,,,,,,,,,,,,,,,,,,,,2025-11-06T10:04:35+00:00
evt_0261,match_17_sbu_vs_sin,San Beda University,right,Pass,22,"Encaya, Pius",ST,1423,1,1680.488412,3.0,true,57.94,18,false,middle third,Successful,Short,Short,"Barro, Harvy",70.69,21.38,defensive third,Back Pass,False,,true,,,,,,,,,2025-11-06T10:04:58+00:00
evt_0262,match_17_sbu_vs_sin,San Beda University,right,Pass,42,"Barro, Harvy",CDM,1427,1,1684.623469,4.0,true,65.19,17.25,false,defensive third,Unsuccessful,Short,Short,,55.69,27.75,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:05:24+00:00
evt_0263,match_17_sbu_vs_sin,San Beda University,right,Possession Loss,42,"Barro, Harvy",CDM,1429,1,1686.761958,2.0,false,60.19,25.88,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-11-06T10:05:56+00:00
evt_0264,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,55,Unnamed,,1431,1,1688.35233,2.0,true,51.44,27.38,true,middle third,Successful,Short,Short,Unnamed,56.94,74.64,middle third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:06:14+00:00
evt_0265,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,54,Unnamed,,1438,1,1696.215641,7.0,true,68.19,70.51,true,middle third,Successful,Through Ball,Through Ball,Unnamed,85.94,81.76,attacking third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:06:46+00:00
evt_0266,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,56,Unnamed,,1443,1,1700.299852,5.0,true,87.69,83.26,true,attacking third,Successful,Short,Short,Unnamed,72.44,88.89,middle third,Back Pass,False,,true,,,,,,,,,2025-11-06T10:07:12+00:00
evt_0267,match_17_sbu_vs_sin,Siniloan Blues,left,Pass,54,Unnamed,,1446,1,1703.498618,3.0,true,76.19,81.39,true,attacking third,Successful,Cross,Cross,Unnamed,84.44,46.51,attacking third,Forward Pass,False,,true,,,,,,,,,2025-11-06T10:07:30+00:00
evt_0268,match_17_sbu_vs_sin,San Beda University,right,Interception,20,"Fernandez, Laurence",RW,1447,1,1705.264134,1.0,false,80.19,49.88,false,defensive third,,,,,,,,,,,true,,,,,,,,,2025-11-06T10:07:38+00:00
